age,agebucket,bookingplatform,booklongname,bookshortname,boref,botimestamp,boversion,business,businesstimezone,cancellationcashinstructionstatus,cancellationstockinstructionstatus,cashopenamt,cptyaccountingtype,cptyshortname,cusip,denominationcurrencycode,diarybotimestamp,diarycategory,diaryfailedreasoncode,diarynarrative,diaryupdatedby,direction,entityshortname,entitytype,faileddays,failedreason,forefnonunique,fullcashsettlementdate,fullinstrumentsettlementdate,fullsettlementdate,generalnarrative,instrumentname,instrumenttype,instrumenttypelevel2,instrumenttypelevel3,integrationstatus,isenriched,isin,isinternalsettlement,isinternaltrade,ismarketfacing,istradeactive,latestfailstatusactivity,market,marketoftrade,matchingstatus,modificationtimestamp,netconsiderationinbasecurrency,netconsiderationinbasecurrencyamount,opensettlementamt,opentradedquantity,operation,origin,ourdepot,ourdepotaccount,ournostro,ournostroaccount,parent,pbflow,pcs_cptyssi,pcs_entitydepotnostroacc,pcs_entityssi,pis_cptyssi,pis_entitydepotnostroacc,pis_entityssi,placeofsafekeeping,pricashoriginalamt,principal,priorityindicator,pristockoriginalamt,quantity,reportinterval,seccashoriginalamt,secstockoriginalamt,sedol,settbiccode,settdenominationamount,settdenominationcurrencycode,settlementamount,settlementconvention,settlementcurrencycode,settlementdepotcountry,settlementstatus,settlementterms,settlementtimestamp,settlementtype,stockdirection,stockinstructionexternalreason,stockinstructionexternalreasontype,stockinstructionexternalstatus,stockinstructionexternalstatustype,stockinstructionformat,stockinstructionnarrative,stockinstructionstatus,stockisacknowledged,stockopenamt,stockoperationalgroup,summarysettlementstatus,swiftcashreceiveref,swiftcashref,swiftdeliverref,swiftreceiveref,taskaction,taskage,taskbotimestamp,taskcreatedate,taskdescription,taskduedate,taskid,taskmodificationtimestamp,taskrole,taskstatus,tasktype,theirdepot,theirdepotaccount,theirnostro,theirnostroaccount,tradecategory,tradedate,tradedcurrencycode,tradedprice,tradereason,tradername,tradestate,tradestatus,tradesubtype,tradetimestamp,tradetype,tradetypecategory,updatedby,updateddatetime,valuedate
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000190665783,39:05.0,1,Financing Business,Europe/London,null,null,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,Failcode Unassigned,0EBFSX,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,50:57.0,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,null,null,000002494838/S06864730,000008525491,C001/100002032762,000002494838/S06864730,000000743766,C001/100002032758,null,21904169.64,22072027.41,null,22000000,22000000,null,null,null,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Deliver,null,null,null,null,M543DeliverAgainstPayment,null,Acknowledged,TRUE,22000000,ICSDFI,Open,null,null,AP00190665783Q1,null,null,null,null,null,null,null,null,null,null,null,null,null,18511,null,18511,Financing,00:00.0,EUR,100.3273973,null,null,NotNetted,New,NoneNoSubTranType,28:00.0,ReverseRepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000190665854,41:07.0,1,Financing Business,Europe/London,null,null,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,Failcode Unassigned,0EBFWE,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,50:57.0,GBP,-18399134.51,21904169.64,22000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,null,null,000002494838/S06864730,000008525491,C001/100002032762,000002494838/S06864730,000000743766,C001/100002032758,null,21904169.64,22072027.41,null,22000000,22000000,null,null,null,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,M541ReceiveAgainstPayment,null,Acknowledged,TRUE,22000000,ICSDFI,Open,null,null,null,AP00190665854Q1,null,null,null,null,null,null,null,null,null,null,null,null,18511,null,18511,Financing,00:00.0,EUR,100.3273973,null,null,NotNetted,New,NoneNoSubTranType,30:00.0,RepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000190665792,39:05.0,1,Financing Business,Europe/London,null,null,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,Failcode Unassigned,0EBFWF,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,50:57.0,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,null,null,000002494838/S06864730,000008525491,C001/100002032762,000002494838/S06864730,000000743766,C001/100002032758,null,21904169.64,22072027.41,null,22000000,22000000,null,null,null,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Deliver,null,null,null,null,M543DeliverAgainstPayment,null,Acknowledged,TRUE,22000000,ICSDFI,Open,null,null,AP00190665792Q1,null,null,null,null,null,null,null,null,null,null,null,null,null,18511,null,18511,Financing,00:00.0,EUR,100.3273973,null,null,NotNetted,New,NoneNoSubTranType,30:00.0,ReverseRepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000190665856,41:07.0,1,Financing Business,Europe/London,null,null,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,Failcode Unassigned,0EBGUP,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,50:57.0,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,null,null,000002494838/S06864730,000008525491,C001/100002032762,000002494838/S06864730,000000743766,C001/100002032758,null,21904169.64,22072027.41,null,22000000,22000000,null,null,null,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Deliver,null,null,null,null,M543DeliverAgainstPayment,null,Acknowledged,TRUE,22000000,ICSDFI,Open,null,null,AP00190665856Q1,null,null,null,null,null,null,null,null,null,null,null,null,null,18511,null,18511,Financing,00:00.0,EUR,100.3273973,null,null,NotNetted,New,NoneNoSubTranType,13:00.0,ReverseRepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000190665784,39:05.0,1,Financing Business,Europe/London,null,null,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,Failcode Unassigned,0EBFSW,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,TRUE,null,TRUE,null,FI-ICSD,null,Unmatched,50:57.0,GBP,-18399134.51,21904169.64,22000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,null,null,000002494838/S06864730,000008525491,C001/100002032762,000002494838/S06864730,000000743766,C001/100002032758,null,21904169.64,22072027.41,null,22000000,22000000,null,null,null,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,M541ReceiveAgainstPayment,null,Acknowledged,TRUE,22000000,ICSDFI,Open,null,null,null,AP00190665784Q1,null,null,null,null,null,null,null,null,null,null,null,null,18511,null,18511,Financing,00:00.0,EUR,100.3273973,null,null,NotNetted,New,NoneNoSubTranType,28:00.0,RepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000367000711,11:24.0,1,Cash Business,Europe/London,null,null,27225683.14,ExternalCounterparty,PIMCO-HVS VIII OS,F43750CV2,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,2GKOOR,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,13:31.0,GBP,-22801509.63,27225683.14,25000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000366994493,null,000000999735/S07921077,000008525491,C001/100002032762,000000999735/S07921077,000000743766,C001/100002032758,null,27225683.14,24857534.25,null,25000000,25000000,null,null,null,BVVT6R1,ZYAFGB30XXX,0,EUR,27225683.14,FranceDebt,USD,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,25000000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25838,null,25838,Financing,00:00.0,EUR,99.430137,null,null,NotNetted,New,NoneNoSubTranType,48:00.0,RepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000367000726,15:55.0,1,Cash Business,Europe/London,null,null,53903731.87,ExternalCounterparty,NorgesBK-NBIM PF,F43750CV2,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,null,2GKOOY,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,18:02.0,GBP,45144375.44,53903731.87,49000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000366993355,null,000001122037/S02341737,000008525491,C001/100002032762,000001122037/S02341737,000000743766,C001/100002032758,null,53903731.87,49215068.5,null,49000000,49000000,null,null,null,BVVT6R1,ZYAFGB30XXX,0,EUR,53903731.87,FranceDebt,USD,LU,Pending,DVP,null,TransactionSettlementType,Deliver,null,null,null,null,null,null,null,null,49000000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20639,null,20639,Financing,00:00.0,EUR,98.430137,null,null,NotNetted,New,NoneNoSubTranType,48:00.0,ReverseRepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000367000714,11:24.0,1,Cash Business,Europe/London,null,null,27225683.14,ExternalCounterparty,PIMCO-HVS VIII OS,F43750CV2,EUR,null,null,null,null,null,Receive,Barclays Bank PLC,FI,null,null,2GKOOS,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,13:31.0,GBP,-22801509.63,27225683.14,25000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000366995517,null,000000999735/S07921077,000008525491,C001/100002032762,000000999735/S07921077,000000743766,C001/100002032758,null,27225683.14,24857534.25,null,25000000,25000000,null,null,null,BVVT6R1,ZYAFGB30XXX,0,EUR,27225683.14,FranceDebt,USD,LU,Pending,DVP,null,TransactionSettlementType,Receive,null,null,null,null,null,null,null,null,25000000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25838,null,25838,Financing,00:00.0,EUR,99.430137,null,null,NotNetted,New,NoneNoSubTranType,48:00.0,RepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,4608 Banking_Repo MTM,4608 Banking_Repo MT,00000000000367000725,15:55.0,1,Cash Business,Europe/London,null,null,53903731.87,ExternalCounterparty,NorgesBK-NBIM PF,F43750CV2,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,null,2GKOOX,null,null,null,null,RTR 0 1/2 05/25/25,Debt,null,null,STP,TRUE,FR0012517027,null,null,null,TRUE,null,FI-ICSD,null,Unmatched,18:02.0,GBP,45144375.44,53903731.87,49000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,00000000000366995518,null,000001122037/S02341737,000008525491,C001/100002032762,000001122037/S02341737,000000743766,C001/100002032758,null,53903731.87,49215068.5,null,49000000,49000000,null,null,null,BVVT6R1,ZYAFGB30XXX,0,EUR,53903731.87,FranceDebt,USD,LU,Pending,DVP,null,TransactionSettlementType,Deliver,null,null,null,null,null,null,null,null,49000000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20639,null,20639,Financing,00:00.0,EUR,98.430137,null,null,NotNetted,New,NoneNoSubTranType,48:00.0,ReverseRepoCloseStockAndCashMovement,null,by FISS,null,00:00.0
null,null,null,Repo MTM 94845,Repo MTM 94845,00000000000387418088,46:06.0,1,FI Financing,Europe/London,null,null,null,ExternalCounterparty,Citibank-Omnibus ALD,null,EUR,null,null,null,null,null,Deliver,Barclays Bank PLC,FI,null,null,2LETHZ,null,null,null,null,IXGR 1 1/8 06/24/26,Debt,null,null,STP,TRUE,XS2194283672,null,null,null,TRUE,null,FI-EMEA Domestic,null,Unmatched,46:55.0,null,null,null,300000,Delivery,FISS,null,34797,null,null,00000000000387403373,null,null,null,null,000000759662/S05392686,000000743766,C001/100002032758,null,null,279912.81,null,300000,300000,null,null,null,BJK0Q48,MGTCBEBEECL,0,EUR,null,GermanyDebt,EUR,null,Pending,FOP,null,TransactionSettlementType,Deliver,null,null,null,null,null,null,null,null,300000,ICSDFI,Open,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20101,null,null,Financing,00:00.0,EUR,1,null,EWA,StockOnly,New,StockVsFee,22:00.0,StockBorrowCloseStockOnlyMovement,null,by FISS,null,00:00.0
