age,agebucket,bookingplatform,booklongname,bookshortname,boref,botimestamp,boversion,business,businesstimezone,cancellationcashinstructionstatus,cancellationstockinstructionstatus,cashopenamt,cptyaccountingtype,cptyshortname,cusip,denominationcurrencycode,diarybotimestamp,diarycategory,diaryfailedreasoncode,diarynarrative,diaryupdatedby,direction,entityshortname,entitytype,faileddays,failedreason,forefnonunique,fullcashsettlementdate,fullinstrumentsettlementdate,fullsettlementdate,generalnarrative,instrumentname,instrumenttype,instrumenttypelevel2,instrumenttypelevel3,integrationstatus,isenriched,isin,isinternalsettlement,isinternaltrade,ismarketfacing,istradeactive,latestfailstatusactivity,market,marketoftrade,matchingstatus,modificationtimestamp,netconsiderationinbasecurrency,netconsiderationinbasecurrencyamount,opensettlementamt,opentradedquantity,operation,origin,ourdepot,ourdepotaccount,ournostro,ournostroaccount,parent,pbflow,pcs_cptyssi,pcs_entitydepotnostroacc,pcs_entityssi,pis_cptyssi,pis_entitydepotnostroacc,pis_entityssi,placeofsafekeeping,pricashoriginalamt,principal,priorityindicator,pristockoriginalamt,quantity,reportinterval,seccashoriginalamt,secstockoriginalamt,sedol,settbiccode,settdenominationamount,settdenominationcurrencycode,settlementamount,settlementconvention,settlementcurrencycode,settlementdepotcountry,settlementstatus,settlementterms,settlementtimestamp,settlementtype,stockdirection,stockinstructionexternalreason,stockinstructionexternalreasontype,stockinstructionexternalstatus,stockinstructionexternalstatustype,stockinstructionformat,stockinstructionnarrative,stockinstructionstatus,stockisacknowledged,stockopenamt,stockoperationalgroup,summarysettlementstatus,swiftcashreceiveref,swiftcashref,swiftdeliverref,swiftreceiveref,taskaction,taskage,taskbotimestamp,taskcreatedate,taskdescription,taskduedate,taskid,taskmodificationtimestamp,taskrole,taskstatus,tasktype,theirdepot,theirdepotaccount,theirnostro,theirnostroaccount,tradecategory,tradedate,tradedcurrencycode,tradedprice,tradereason,tradername,tradestate,tradestatus,tradesubtype,tradetimestamp,tradetype,tradetypecategory,updatedby,updateddatetime,valuedate
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,190665783,2023-03-23 13:00:01.026 +0530,1,Financing Business,Europe/London,,,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,Failcode Unassigned,0EBFSX,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,TRUE,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,,,000002494838/S06864730,8525491,C001/100002032762,000002494838/S06864730,743766,C001/100002032758,,21904169.64,22072027.41,,22000000,22000000,,,,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,,TransactionSettlementType,Deliver,,,,,M543DeliverAgainstPayment,,Acknowledged,TRUE,22000000,ICSDFI,Open,,,AP00190665783Q1,,,,,,,,,,,,,,18511,,18511,Financing,2023-03-22 13:00:01.026 +0530,EUR,100.3273973,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,ReverseRepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,190665854,2023-03-23 13:00:01.026 +0530,1,Financing Business,Europe/London,,,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,,,,,,Receive,Barclays Bank PLC,FI,,Failcode Unassigned,0EBFWE,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,TRUE,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,-18399134.51,21904169.64,22000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,,,000002494838/S06864730,8525491,C001/100002032762,000002494838/S06864730,743766,C001/100002032758,,21904169.64,22072027.41,,22000000,22000000,,,,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,,TransactionSettlementType,Receive,,,,,M541ReceiveAgainstPayment,,Acknowledged,TRUE,22000000,ICSDFI,Open,,,,AP00190665854Q1,,,,,,,,,,,,,18511,,18511,Financing,2023-03-22 13:00:01.026 +0530,EUR,100.3273973,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,RepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,190665792,2023-03-23 13:00:01.026 +0530,1,Financing Business,Europe/London,,,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,Failcode Unassigned,0EBFWF,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,TRUE,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,,,000002494838/S06864730,8525491,C001/100002032762,000002494838/S06864730,743766,C001/100002032758,,21904169.64,22072027.41,,22000000,22000000,,,,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,,TransactionSettlementType,Deliver,,,,,M543DeliverAgainstPayment,,Acknowledged,TRUE,22000000,ICSDFI,Open,,,AP00190665792Q1,,,,,,,,,,,,,,18511,,18511,Financing,2023-03-22 13:00:01.026 +0530,EUR,100.3273973,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,ReverseRepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,190665856,2023-03-23 13:00:01.026 +0530,1,Financing Business,Europe/London,,,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,Failcode Unassigned,0EBGUP,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,TRUE,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,18399134.51,21904169.64,22000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,,,000002494838/S06864730,8525491,C001/100002032762,000002494838/S06864730,743766,C001/100002032758,,21904169.64,22072027.41,,22000000,22000000,,,,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,,TransactionSettlementType,Deliver,,,,,M543DeliverAgainstPayment,,Acknowledged,TRUE,22000000,ICSDFI,Open,,,AP00190665856Q1,,,,,,,,,,,,,,18511,,18511,Financing,2023-03-22 13:00:01.026 +0530,EUR,100.3273973,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,ReverseRepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,190665784,2023-03-23 13:00:01.026 +0530,1,Financing Business,Europe/London,,,21904169.64,ExternalCounterparty,Symmetry Master Fund,F43750CV2,EUR,,,,,,Receive,Barclays Bank PLC,FI,,Failcode Unassigned,0EBFSW,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,TRUE,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,-18399134.51,21904169.64,22000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,,,000002494838/S06864730,8525491,C001/100002032762,000002494838/S06864730,743766,C001/100002032758,,21904169.64,22072027.41,,22000000,22000000,,,,BVVT6R1,MGTCBEBEECL,0,EUR,21904169.64,FranceDebt,EUR,LU,Pending,DVP,,TransactionSettlementType,Receive,,,,,M541ReceiveAgainstPayment,,Acknowledged,TRUE,22000000,ICSDFI,Open,,,,AP00190665784Q1,,,,,,,,,,,,,18511,,18511,Financing,2023-03-22 13:00:01.026 +0530,EUR,100.3273973,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,RepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,367000711,2023-03-23 13:00:01.026 +0530,1,Cash Business,Europe/London,,,27225683.14,ExternalCounterparty,PIMCO-HVS VIII OS,F43750CV2,EUR,,,,,,Receive,Barclays Bank PLC,FI,,,2GKOOR,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,-22801509.63,27225683.14,25000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,366994493,,000000999735/S07921077,8525491,C001/100002032762,000000999735/S07921077,743766,C001/100002032758,,27225683.14,24857534.25,,25000000,25000000,,,,BVVT6R1,ZYAFGB30XXX,0,EUR,27225683.14,FranceDebt,USD,LU,Pending,DVP,,TransactionSettlementType,Receive,,,,,,,,,25000000,ICSDFI,Open,,,,,,,,,,,,,,,,,25838,,25838,Financing,2023-03-22 13:00:01.026 +0530,EUR,99.430137,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,RepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,367000726,2023-03-23 13:00:01.026 +0530,1,Cash Business,Europe/London,,,53903731.87,ExternalCounterparty,NorgesBK-NBIM PF,F43750CV2,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,,2GKOOY,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,45144375.44,53903731.87,49000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,366993355,,000001122037/S02341737,8525491,C001/100002032762,000001122037/S02341737,743766,C001/100002032758,,53903731.87,49215068.5,,49000000,49000000,,,,BVVT6R1,ZYAFGB30XXX,0,EUR,53903731.87,FranceDebt,USD,LU,Pending,DVP,,TransactionSettlementType,Deliver,,,,,,,,,49000000,ICSDFI,Open,,,,,,,,,,,,,,,,,20639,,20639,Financing,2023-03-22 13:00:01.026 +0530,EUR,98.430137,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,ReverseRepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,367000714,2023-03-23 13:00:01.026 +0530,1,Cash Business,Europe/London,,,27225683.14,ExternalCounterparty,PIMCO-HVS VIII OS,F43750CV2,EUR,,,,,,Receive,Barclays Bank PLC,FI,,,2GKOOS,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,-22801509.63,27225683.14,25000000,Receipt,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,366995517,,000000999735/S07921077,8525491,C001/100002032762,000000999735/S07921077,743766,C001/100002032758,,27225683.14,24857534.25,,25000000,25000000,,,,BVVT6R1,ZYAFGB30XXX,0,EUR,27225683.14,FranceDebt,USD,LU,Pending,DVP,,TransactionSettlementType,Receive,,,,,,,,,25000000,ICSDFI,Open,,,,,,,,,,,,,,,,,25838,,25838,Financing,2023-03-22 13:00:01.026 +0530,EUR,99.430137,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,RepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,4608 Banking_Repo MTM,4608 Banking_Repo MT,367000725,2023-03-23 13:00:01.026 +0530,1,Cash Business,Europe/London,,,53903731.87,ExternalCounterparty,NorgesBK-NBIM PF,F43750CV2,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,,2GKOOX,,,,,RTR 0 1/2 05/25/25,Debt,,,STP,TRUE,FR0012517027,,,,TRUE,,FI-ICSD,,Unmatched,2023-03-23 13:00:01.026 +0530,GBP,45144375.44,53903731.87,49000000,Delivery,FISS,Clearstream (CSD),34797,Clearstream Banking,34797,366995518,,000001122037/S02341737,8525491,C001/100002032762,000001122037/S02341737,743766,C001/100002032758,,53903731.87,49215068.5,,49000000,49000000,,,,BVVT6R1,ZYAFGB30XXX,0,EUR,53903731.87,FranceDebt,USD,LU,Pending,DVP,,TransactionSettlementType,Deliver,,,,,,,,,49000000,ICSDFI,Open,,,,,,,,,,,,,,,,,20639,,20639,Financing,2023-03-22 13:00:01.026 +0530,EUR,98.430137,,,NotNetted,New,NoneNoSubTranType,2023-03-23 13:00:01.026 +0530,ReverseRepoCloseStockAndCashMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
,,,Repo MTM 94845,Repo MTM 94845,387418088,2023-03-23 13:00:01.026 +0530,1,FI Financing,Europe/London,,,,ExternalCounterparty,Citibank-Omnibus ALD,,EUR,,,,,,Deliver,Barclays Bank PLC,FI,,,2LETHZ,,,,,IXGR 1 1/8 06/24/26,Debt,,,STP,TRUE,XS2194283672,,,,TRUE,,FI-EMEA Domestic,,Unmatched,2023-03-23 13:00:01.026 +0530,,,,300000,Delivery,FISS,,34797,,,387403373,,,,,000000759662/S05392686,743766,C001/100002032758,,,279912.81,,300000,300000,,,,BJK0Q48,MGTCBEBEECL,0,EUR,,GermanyDebt,EUR,,Pending,FOP,,TransactionSettlementType,Deliver,,,,,,,,,300000,ICSDFI,Open,,,,,,,,,,,,,,,,,20101,,,Financing,2023-03-22 13:00:01.026 +0530,EUR,1,,EWA,StockOnly,New,StockVsFee,2023-03-23 13:00:01.026 +0530,StockBorrowCloseStockOnlyMovement,,by FISS,,2023-03-23 13:00:01.026 +0530
